# Generated waypoints — lat, lon, alt_above_takeoff_metres
30.314063505690264, -97.7432618, 10.0
30.314046277922227, -97.74320068761314, 10.0
30.314001175054045, -97.74316291812622, 10.0
30.3139454248711, -97.7431629181822, 10.0
30.313900322048404, -97.7432006877037, 10.0
30.313883094308498, -97.7432618, 10.0
30.313900322048404, -97.74332291229629, 10.0
30.3139454248711, -97.7433606818178, 10.0
30.314001175054045, -97.74336068187378, 10.0
30.314046277922227, -97.74332291238686, 10.0
30.314090105689896, -97.7429225, 10.0
30.31407287792194, -97.74286138759663, 10.0
30.314027775053937, -97.74282361809951, 10.0
30.313972024871223, -97.74282361815548, 10.0
30.31392692204872, -97.74286138768721, 10.0
30.31390969430887, -97.7429225, 10.0
30.31392692204872, -97.7429836123128, 10.0
30.313972024871223, -97.74302138184453, 10.0
30.314027775053937, -97.7430213819005, 10.0
30.31407287792194, -97.74298361240338, 10.0
