# Waypoints — lat, lon, alt_above_takeoff_metres
30.388225072389574, -97.72879817219126, 10.0
30.38827986626369, -97.72882448323676, 10.0
30.388302562620478, -97.72888800371967, 10.0
30.38827986626369, -97.72895152420257, 10.0
30.388225072389574, -97.72897783524809, 10.0
30.38817027848472, -97.72895152420257, 10.0
30.388147582097197, -97.72888800371967, 10.0
30.38817027848472, -97.72882448323676, 10.0
30.38829372169227, -97.72882795063977, 10.0
30.388348515527863, -97.72885426168526, 10.0
30.38837121186872, -97.72891778216817, 10.0
30.388348515527863, -97.72898130265108, 10.0
30.38829372169227, -97.72900761369658, 10.0
30.388238927825913, -97.72898130265108, 10.0
30.388216231454344, -97.72891778216817, 10.0
30.388238927825913, -97.72885426168526, 10.0
30.3884489231611, -97.72885973757019, 10.0
30.388503716909675, -97.7288860486157, 10.0
30.388526413214475, -97.7289495690986, 10.0
30.388503716909675, -97.72901308958151, 10.0
30.3884489231611, -97.72903940062703, 10.0
30.388394129381787, -97.72901308958151, 10.0
30.388371433046274, -97.7289495690986, 10.0
30.388394129381787, -97.7288860486157, 10.0
30.388409739703192, -97.728891114198, 10.0
30.388464533473726, -97.72891742524352, 10.0
30.388487229787636, -97.72898094572642, 10.0
30.388464533473726, -97.72904446620933, 10.0
30.388409739703192, -97.72907077725485, 10.0
30.388354945901924, -97.72904446620933, 10.0
30.3883322495573, -97.72898094572642, 10.0
30.388354945901924, -97.72891742524352, 10.0
30.388198358515425, -97.728839393759, 10.0
30.388253152404502, -97.72886570480449, 10.0
30.38827584876752, -97.7289292252874, 10.0
30.388253152404502, -97.72899274577031, 10.0
30.388198358515425, -97.72901905681582, 10.0
30.38814356459561, -97.72899274577031, 10.0
30.388120868201877, -97.7289292252874, 10.0
30.38814356459561, -97.72886570480449, 10.0
